,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
1182,2021-03-31,USD,53201000,116520000,63319000,63319000,-17513000,38650000,26795000,70714000,-76000,-7006000,179000,7006000,116520000,179000,None,10507000,-25520000,135000,7006000,-25655000,-25634000,-17513000,-8007000,-25655000,QTWO
1183,2020-12-31,USD,44510000,108986000,64476000,64476000,-20476000,34787000,25213000,64986000,-252000,-6486000,171000,6486000,108986000,-8761000,None,4441000,-37026000,795000,15418000,-37821000,-37815000,-20476000,-26099000,-37821000,QTWO
1184,2020-09-30,USD,46438000,103804000,57366000,57366000,-19847000,35966000,23568000,66285000,-31000,-5686000,315000,5686000,103804000,315000,None,4465000,-26604000,116000,0,-26720000,-26706000,-19847000,-16453000,-26720000,QTWO
1185,2020-06-30,USD,44378000,97581000,53203000,53203000,-32307000,33513000,23642000,76685000,-132000,-5632000,265000,5632000,97581000,265000,None,4491000,-38906000,65000,0,-38971000,-38860000,-32307000,-28783000,-38971000,QTWO
1186,2020-03-31,USD,39273000,92380000,53107000,53107000,-27203000,38994000,24958000,66476000,49000,-5490000,456000,5490000,92380000,456000,None,8396000,-33668000,440000,5490000,-34108000,-34285000,-27203000,-19782000,-34108000,QTWO
1187,2019-12-31,USD,42038000,86840000,44802000,44802000,-21858000,31958000,19881000,63896000,-102000,-5467000,694000,5467000,86840000,694000,None,3307000,-27846000,-12180000,5467000,-15666000,-15794000,-21858000,-19072000,-15666000,QTWO
1188,2019-09-30,USD,39255000,79702000,40447000,40447000,-13394000,29118000,19617000,52649000,59000,-5379000,1315000,5379000,79702000,1315000,None,912000,-18600000,-31000,5379000,-18569000,-18591000,-13394000,-12309000,-18569000,QTWO
1189,2019-06-30,USD,37594000,77646000,40052000,40052000,-14351000,29945000,19118000,51945000,-267000,-3227000,856000,3227000,77646000,856000,None,905000,-17568000,-237000,3227000,-17331000,-17256000,-14351000,-13436000,-17331000,QTWO
1190,2019-03-31,USD,34112000,71296000,37184000,37184000,-17143000,29665000,17657000,51255000,84000,-2548000,2207000,2548000,71296000,807000,None,2679000,-19350000,-39000,2548000,-19311000,-19186000,-17143000,-14123000,-19311000,QTWO
1191,2018-12-31,USD,31742000,67177000,35435000,35435000,-12694000,26242000,15517000,44436000,5000,-2518000,None,2518000,67177000,832000,None,857000,-15039000,-3176000,2518000,-11863000,-11817000,-12694000,-11664000,-11863000,QTWO
